,imgpath,top,bot,date,avgTemp,minTemp,maxTemp,sumRain
0,183_ki_0.jpg,긴팔,긴바지,2024-03-22,10.4,3.8,15.2,5.4
1,183_ki_1.jpg,반팔,긴바지,2024-03-20,4.4,1.2,8.7,0.0
2,183_ki_100.jpg,긴팔,긴바지,2023-09-13,22.1,19.6,24.6,15.9
3,183_ki_101.jpg,긴팔,긴바지,2023-09-11,25.5,23.1,29.8,0.0
4,183_ki_102.jpg,긴팔,긴바지,2023-09-09,25.8,20.8,31.2,0.0
5,183_ki_103.jpg,긴팔,긴바지,2023-09-07,26.3,20.9,31.6,0.0
6,183_ki_104.jpg,긴팔,긴바지,2023-09-06,27.9,24.0,32.1,0.0
7,183_ki_105.jpg,긴팔,긴바지,2023-09-05,28.5,25.0,32.8,0.0
8,183_ki_106.jpg,긴팔,긴바지,2023-09-04,27.0,24.3,30.2,0.3
9,183_ki_107.jpg,반팔,긴바지,2023-08-30,22.8,21.5,24.5,3.5
10,183_ki_108.jpg,긴팔,반바지,2023-08-29,23.9,22.5,25.5,54.8
11,183_ki_109.jpg,긴팔,긴바지,2023-08-28,22.7,20.8,25.6,10.4
12,183_ki_11.jpg,긴팔,긴바지,2024-03-05,8.0,5.5,11.0,0.0
13,183_ki_110.jpg,긴팔,긴바지,2023-08-24,25.1,22.3,27.8,5.2
14,183_ki_111.jpg,긴팔,반바지,2023-08-22,27.6,25.8,32.2,42.6
15,183_ki_112.jpg,반팔,긴바지,2023-08-21,29.5,26.0,33.6,0.0
16,183_ki_113.jpg,반팔,긴바지,2023-08-17,28.2,24.5,32.4,0.0
17,183_ki_114.jpg,긴팔,긴바지,2023-08-16,27.3,24.7,31.6,0.3
18,183_ki_115.jpg,긴팔,반바지,2023-08-15,28.6,24.7,32.7,0.0
19,183_ki_116.jpg,긴팔,긴바지,2023-08-09,28.3,25.1,31.6,0.2
20,183_ki_117.jpg,긴팔,반바지,2023-08-07,30.4,27.3,34.6,0.0
21,183_ki_119.jpg,반팔,긴바지,2023-08-01,29.9,25.5,34.2,0.0
22,183_ki_12.jpg,긴팔,긴바지,2024-03-02,-0.5,-8.1,4.1,0.0
23,183_ki_120.jpg,반팔,긴바지,2023-07-30,28.8,24.9,34.9,25.0
24,183_ki_121.jpg,반팔,긴바지,2023-07-28,29.5,25.4,34.1,0.0
25,183_ki_122.jpg,반팔,반바지,2023-07-27,28.4,24.4,32.2,0.0
26,183_ki_123.jpg,반팔,긴바지,2023-07-24,26.9,24.6,30.0,0.4
27,183_ki_124.jpg,긴팔,긴바지,2023-07-21,29.5,24.6,34.3,0.0
